,Hour,Generated power,TemperatureC,DewpointC,PressurehPa,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2
0,0,0.0,9.166666666666666,6.666666666666667,850.8333333333334,106.83333333333333,3.3333333333333335,13.5,69.0,0.0,0.0,0.0
1,1,0.0,11.0,7.916666666666667,1020.5833333333334,129.75,2.75,10.833333333333334,81.08333333333333,0.0,0.0,0.0
2,2,0.0,11.0,7.583333333333333,1020.0,121.16666666666667,2.5833333333333335,9.75,80.5,0.0,0.0,0.0
3,3,0.0,11.0,7.0,1018.5,126.25,7.166666666666667,15.333333333333334,76.75,0.0,0.0,0.0
4,4,0.0,11.166666666666666,7.0,1017.6666666666666,129.08333333333334,5.083333333333333,17.0,76.25,0.0,0.0,0.0
5,5,0.0,12.166666666666666,8.0,1016.5833333333334,126.58333333333333,6.583333333333333,16.416666666666668,76.0,0.0,0.0,0.0
6,6,0.0,13.5,9.666666666666666,1015.25,142.25,11.0,29.666666666666668,76.33333333333333,0.0,0.0,0.0
7,7,0.0,13.0,10.833333333333334,1015.0,145.0,12.666666666666666,35.333333333333336,86.91666666666667,0.0,0.0,0.0
8,8,90.16666666666667,12.666666666666666,11.166666666666666,1014.8333333333334,148.83333333333334,14.416666666666666,37.583333333333336,90.33333333333333,0.0,0.0,13.333333333333334
9,9,353.72727272727275,13.636363636363637,12.0,1014.0,153.9090909090909,15.727272727272727,35.09090909090909,88.18181818181819,0.0,0.0,51.45454545454545
10,10,47.25,13.25,12.0,1013.25,153.5,9.5,31.625,92.5,5.875,4.5,5.0
11,11,178.25,13.166666666666666,12.166666666666666,1013.0,168.58333333333334,9.916666666666666,32.333333333333336,94.08333333333333,4.416666666666667,9.583333333333334,24.5
12,12,427.0833333333333,13.416666666666666,12.416666666666666,1012.9166666666666,232.0,7.333333333333333,24.333333333333332,95.0,3.1666666666666665,13.166666666666666,59.75
13,13,582.0,13.5,12.666666666666666,1013.75,261.25,6.25,15.916666666666666,94.5,0.0,14.0,84.5
14,14,1053.9166666666667,14.25,10.333333333333334,1014.0,264.6666666666667,13.583333333333334,28.083333333333332,76.66666666666667,0.0,14.0,163.66666666666666
15,15,380.75,14.0,9.833333333333334,1014.5,262.0,13.166666666666666,27.75,74.58333333333333,0.0,14.0,58.166666666666664
16,16,249.75,14.0,9.25,1015.0833333333334,274.25,11.5,26.166666666666668,73.25,0.0,14.0,39.666666666666664
17,17,14.636363636363637,12.818181818181818,9.181818181818182,1016.1818181818181,260.90909090909093,7.7272727272727275,20.181818181818183,78.54545454545455,0.5454545454545454,14.181818181818182,1.4545454545454546
18,18,0.0,11.0,9.916666666666666,1016.3333333333334,221.58333333333334,0.5833333333333334,7.416666666666667,88.58333333333333,0.08333333333333333,15.0,0.0
19,19,0.0,11.666666666666666,10.0,1017.4166666666666,279.3333333333333,5.25,9.583333333333334,87.41666666666667,0.0,15.0,0.0
20,20,0.0,12.083333333333334,9.083333333333334,1018.0,257.1666666666667,3.4166666666666665,14.416666666666666,80.08333333333333,0.0,15.0,0.0
21,21,0.0,11.666666666666666,8.75,1018.9166666666666,269.3333333333333,7.666666666666667,21.25,83.08333333333333,0.6666666666666666,15.0,0.0
22,22,0.0,11.0,8.5,1019.0,268.6666666666667,4.5,14.583333333333334,85.58333333333333,0.0,15.0,0.0
23,23,0.0,10.75,8.5,1019.1666666666666,260.8333333333333,5.416666666666667,17.666666666666668,86.08333333333333,1.8333333333333333,15.75,0.0
24,0,0.0,9.166666666666666,8.25,934.0833333333334,257.5,2.0,8.833333333333334,83.25,0.08333333333333333,1.4166666666666667,0.0
25,1,0.0,10.916666666666666,8.083333333333334,1019.0,266.5,2.0833333333333335,6.25,86.66666666666667,0.0,0.0,0.0
26,2,0.0,10.416666666666666,8.0,1019.9166666666666,274.75,3.4166666666666665,12.833333333333334,84.25,0.6666666666666666,0.0,0.0
27,3,0.0,11.0,8.0,1020.0,267.9166666666667,4.333333333333333,12.166666666666666,83.08333333333333,0.0,0.0,0.0
28,4,0.0,11.0,7.583333333333333,1020.4166666666666,273.0,3.5833333333333335,12.666666666666666,77.91666666666667,0.0,0.0,0.0
29,5,0.0,11.0,6.416666666666667,1021.0,276.1666666666667,3.0833333333333335,12.416666666666666,72.0,0.0,0.0,0.0
